149;2+1;465.000 TL;22 Nisan  2020;\GazipaşaCemalpaşaMh.
135;2+1;219.500 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
195;3+1;500.000 TL;25 Nisan  2020;\GazipaşaReşatbeyMh.
115;2+1;525.000 TL;25 Nisan  2020;\GazipaşaCemalpaşaMh.
130;2+1;260.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
175;3+1;337.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
160;3+1;429.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
250;5+1;675.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
160;3+1;330.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
135;2+1;280.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
70;1+1;120.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
120;3+1;385.000 TL;25 Nisan  2020;\Yenibaraj
135;3+1;535.000 TL;25 Nisan  2020;\2000Evler
165;3+1;340.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
130;3+1;247.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
190;3+1;282.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
135;2+1;219.500 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
195;3+1;500.000 TL;25 Nisan  2020;\GazipaşaReşatbeyMh.
115;2+1;525.000 TL;25 Nisan  2020;\GazipaşaCemalpaşaMh.
130;2+1;260.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
175;3+1;337.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
160;3+1;429.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
250;5+1;675.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
160;3+1;330.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
135;2+1;280.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
70;1+1;120.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
120;3+1;385.000 TL;25 Nisan  2020;\Yenibaraj
135;3+1;475.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
165;3+1;279.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
145;3+1;420.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
190;3+1;348.000 TL;25 Nisan  2020;\Yenibaraj
165;3+1;285.000 TL;25 Nisan  2020;\KuruköprüÇınarlıMh.
195;3+1;500.000 TL;25 Nisan  2020;\GazipaşaReşatbeyMh.
115;2+1;525.000 TL;25 Nisan  2020;\GazipaşaCemalpaşaMh.
130;2+1;260.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
175;3+1;337.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
160;3+1;429.000 TL;25 Nisan  2020;\Mavibulvar/YurtPınarMh.
250;5+1;675.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
160;3+1;330.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
135;2+1;280.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
70;1+1;120.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
120;3+1;385.000 TL;25 Nisan  2020;\Yenibaraj
135;3+1;475.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
165;3+1;279.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
145;3+1;420.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
190;3+1;348.000 TL;25 Nisan  2020;\Yenibaraj
165;3+1;285.000 TL;25 Nisan  2020;\KuruköprüÇınarlıMh.
120;2+1;339.000 TL;25 Nisan  2020;\GazipaşaCemalpaşaMh.
120;2+1;228.000 TL;24 Nisan  2020;\GazipaşaReşatbeyMh.
110;2+1;189.999 TL;25 Nisan  2020;\MerkezBahçeşehirMh.
165;4+1;525.000 TL;24 Nisan  2020;\GürselpaşaGürselpaşaMh.
165;3+1;361.000 TL;24 Nisan  2020;\GazipaşaReşatbeyMh.
250;5+1;675.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
160;3+1;330.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
135;2+1;280.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
70;1+1;120.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
120;3+1;385.000 TL;25 Nisan  2020;\Yenibaraj
135;3+1;475.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
165;3+1;279.000 TL;25 Nisan  2020;\YeşilyurtYeşilyurtMh.
145;3+1;420.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
190;3+1;348.000 TL;25 Nisan  2020;\Yenibaraj
165;3+1;285.000 TL;25 Nisan  2020;\KuruköprüÇınarlıMh.
120;2+1;339.000 TL;25 Nisan  2020;\GazipaşaCemalpaşaMh.
120;2+1;228.000 TL;24 Nisan  2020;\GazipaşaReşatbeyMh.
110;2+1;189.999 TL;25 Nisan  2020;\MerkezBahçeşehirMh.
165;4+1;525.000 TL;24 Nisan  2020;\GürselpaşaGürselpaşaMh.
165;3+1;361.000 TL;24 Nisan  2020;\GazipaşaReşatbeyMh.
150;3+1;390.000 TL;25 Nisan  2020;\GürselpaşaGürselpaşaMh.
160;3+1;375.000 TL;24 Nisan  2020;\GürselpaşaGürselpaşaMh.
160;2+1;178.000 TL;24 Nisan  2020;\YeşilyurtYeşilyurtMh.
110;2+1;288.000 TL;24 Nisan  2020;\GazipaşaReşatbeyMh.
200;4+1;450.000 TL;24 Nisan  2020;\KuruköprüÇınarlıMh.
